Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
20-07-2020,95.40940094,95.54763152,93.1831914,93.52755414,90318000
21-07-2020,94.0925827,96.27514261,93.84280114,96.19996614,103433200
22-07-2020,94.35691833,95.03836148,93.70700224,93.79430109,89001600
23-07-2020,90.06213379,94.16777019,89.25216235,94.09016627,197004400
24-07-2020,89.8390274,90.18339017,86.47303332,88.26031387,185438800
27-07-2020,91.96824646,92.0604002,90.67811633,90.90121837,121214000
28-07-2020,90.45743561,91.7160461,90.45258074,91.53901353,103625600
29-07-2020,92.19136047,92.37566796,90.90365031,90.94002484,90329200
30-07-2020,93.30686951,93.4111456,90.95697926,91.3643887,158130000
31-07-2020,103.075058,103.225411,97.80295688,99.80121727,374336800
03-08-2020,105.6723022,108.2913718,104.6586259,104.9569045,308151200
04-08-2020,106.378006,107.4692863,105.1387927,105.8614654,173071600
05-08-2020,106.763588,107.0836986,105.6335057,106.0991219,121776800
06-08-2020,110.488472,110.9831877,106.5065162,107.0958057,202428800
07-08-2020,107.9764404,110.4666159,107.1795846,110.0098801,198045600
10-08-2020,109.5458679,110.5638038,106.8953483,109.4219641,212403600
11-08-2020,106.2879639,109.307755,106.0280121,108.8097229,187902400
12-08-2020,109.8203888,110.0779088,107.1844454,107.3787976,165598000
13-08-2020,111.7639236,112.7672832,110.7119723,111.200292,210082000
14-08-2020,111.6643295,111.7542176,109.8543941,111.5890175,165565200
17-08-2020,111.3727722,112.8110034,110.7459802,112.7867075,119561600
18-08-2020,112.3008347,112.7259865,110.7897231,111.1249869,105633600
19-08-2020,112.4417343,113.8556697,112.34699,112.7089741,145538000
20-08-2020,114.9367752,115.0509592,112.4660322,112.48304,126907200
21-08-2020,120.8597565,121.3432125,115.8842618,115.896406,338054800
24-08-2020,122.3052597,125.1501384,120.4394521,125.0650992,345937600
25-08-2020,121.3019028,121.6468864,119.5794312,121.1780064,211495600
26-08-2020,122.9515076,123.4082434,121.552148,122.6186755,163022400
27-08-2020,121.4816895,123.886833,120.3374182,123.554001,155552400
28-08-2020,121.2848892,122.873737,121.0613776,122.4558732,187630000
31-08-2020,125.3979416,127.3026287,122.4437497,123.9791572,225702700
01-09-2020,130.3928528,130.9953638,126.8458775,129.0129331,151948100
02-09-2020,127.69133,134.0856163,123.4155225,133.7066243,200119000
03-09-2020,117.4682541,125.2035884,117.098982,123.3280683,257599600
04-09-2020,117.5459976,120.2086612,107.7602158,116.6811178,332607200
08-09-2020,109.6357269,115.6315808,109.4996789,110.7338307,231366600
09-09-2020,114.0087128,115.7773441,112.0068574,113.9504086,176940500
10-09-2020,110.2868347,117.0989852,109.3247787,116.9629372,182274400
11-09-2020,108.8388977,111.977737,106.895346,111.3363614,180860300
14-09-2020,112.1040421,112.6579539,109.6162987,111.4821062,140150100
15-09-2020,112.2789688,115.4761119,110.4034414,114.990224,184642000
16-09-2020,108.96521,112.7259847,108.8777537,111.9777207,154679000
17-09-2020,107.2257309,109.0332344,105.6417391,106.6232347,178011000
18-09-2020,103.8245087,107.7504832,103.0956769,107.2840351,287104900
21-09-2020,106.9730835,107.0799794,100.190085,101.5894446,195713800
22-09-2020,108.6542358,109.6746033,106.0790362,109.4996833,183055400
23-09-2020,104.0966187,108.9457775,103.7564912,108.4696094,150718700
24-09-2020,105.1655807,107.1382845,102.0364614,102.2016615,167743300
